subject,sessions,alphas,diff_fundicres_dpf
CC00735XX18,222201,0.0,0.20897595164473237
CC00735XX18,222201,0.0001,0.21915742787189255
CC00735XX18,222201,0.0005,0.23378053380577946
CC00735XX18,222201,0.001,0.25766833964474173
CC00735XX18,222201,0.003,0.2980598826970427
CC00735XX18,222201,0.005,0.31814081151864526
CC00735XX18,222201,0.01,0.38530162827270736
CC00735XX18,222201,0.03,0.5129477436855786
CC00735XX18,222201,0.05,0.5707070569204378
CC00735XX18,222201,0.5,0.7897497752744501
CC00672AN13,197601,0.0,0.1342307067717603
CC00672AN13,197601,0.0001,0.1397230897556745
CC00672AN13,197601,0.0005,0.17549666480610732
CC00672AN13,197601,0.001,0.20205417886416438
CC00672AN13,197601,0.003,0.23333774575608623
CC00672AN13,197601,0.005,0.2649712924536867
CC00672AN13,197601,0.01,0.3241761929673575
CC00672AN13,197601,0.03,0.4779113266855711
CC00672AN13,197601,0.05,0.5662910631208319
CC00672AN13,197601,0.5,0.8092183182480177
CC00672BN13,200000,0.0,0.2039877185060682
CC00672BN13,200000,0.0001,0.21423031976054274
CC00672BN13,200000,0.0005,0.21814815256898162
CC00672BN13,200000,0.001,0.237981652861144
CC00672BN13,200000,0.003,0.26171811171153153
CC00672BN13,200000,0.005,0.28745228178718313
CC00672BN13,200000,0.01,0.3519289365515883
CC00672BN13,200000,0.03,0.5643272321738033
CC00672BN13,200000,0.05,0.6260586110876282
CC00672BN13,200000,0.5,0.8241975052415519
CC00621XX11,177900,0.0,0.24498706912046664
CC00621XX11,177900,0.0001,0.2586492735119827
CC00621XX11,177900,0.0005,0.2933569432426934
CC00621XX11,177900,0.001,0.30936548646448
CC00621XX11,177900,0.003,0.3425397989929431
CC00621XX11,177900,0.005,0.37679967651326846
CC00621XX11,177900,0.01,0.46268940165806904
CC00621XX11,177900,0.03,0.6445158467516837
CC00621XX11,177900,0.05,0.7186378283939819
CC00621XX11,177900,0.5,0.8830818948704074
CC00829XX21,17610,0.0,0.3133687665562863
CC00829XX21,17610,0.0001,0.3207659014491789
CC00829XX21,17610,0.0005,0.35293995708192843
CC00829XX21,17610,0.001,0.38776944449764394
CC00829XX21,17610,0.003,0.4825981393366884
CC00829XX21,17610,0.005,0.5355997217519668
CC00829XX21,17610,0.01,0.6331940921839534
CC00829XX21,17610,0.03,0.7919917134622607
CC00829XX21,17610,0.05,0.8511706657996512
CC00829XX21,17610,0.5,0.9064785549803793
CC00617XX15,176500,0.0,0.3178774950925992
CC00617XX15,176500,0.0001,0.3242245791358916
CC00617XX15,176500,0.0005,0.34630364668067093
CC00617XX15,176500,0.001,0.3625041366445969
CC00617XX15,176500,0.003,0.4247323523435245
CC00617XX15,176500,0.005,0.4733839423763598
CC00617XX15,176500,0.01,0.5776057369253681
CC00617XX15,176500,0.03,0.7358832856465413
CC00617XX15,176500,0.05,0.7860202612764482
CC00617XX15,176500,0.5,0.8849716040267541
CC00712XX11,221400,0.0,0.2692691169800353
CC00712XX11,221400,0.0001,0.2770640502093011
CC00712XX11,221400,0.0005,0.30684999340103514
CC00712XX11,221400,0.001,0.3388234861945671
CC00712XX11,221400,0.003,0.4381008390127793
CC00712XX11,221400,0.005,0.5030091259201496
CC00712XX11,221400,0.01,0.6110644846344788
CC00712XX11,221400,0.03,0.749710090039866
CC00712XX11,221400,0.05,0.8136209412186579
CC00712XX11,221400,0.5,0.9175448393386486
CC00385XX15,118500,0.0,0.15508927616750195
CC00385XX15,118500,0.0001,0.17838022322649716
CC00385XX15,118500,0.0005,0.2615884279298147
CC00385XX15,118500,0.001,0.3174717440999279
CC00385XX15,118500,0.003,0.4486709597874911
CC00385XX15,118500,0.005,0.5318331043356714
CC00385XX15,118500,0.01,0.6478500020706802
CC00385XX15,118500,0.03,0.7761447617244503
CC00385XX15,118500,0.05,0.8107451150552624
CC00385XX15,118500,0.5,0.8913162280115362
CC00063AN06,15102,0.0,0.13469924260183286
CC00063AN06,15102,0.0001,0.1457271073721341
