subject,sessions,diff_fundicrest_dpf003
CC00735XX18,222201,0.5129477436855786
CC00672AN13,197601,0.4779113266855711
CC00672BN13,200000,0.5643272321738033
CC00621XX11,177900,0.6445158467516837
CC00829XX21,17610,0.7919917134622607
CC00617XX15,176500,0.7358832856465413
CC00712XX11,221400,0.749710090039866
CC00385XX15,118500,0.7761447617244503
CC00063AN06,15102,0.7853004628181446
CC00492AN15,140900,0.7851644753026641
CC00100XX01,35000,0.8238865318785059
CC00777XX19,239102,0.885069644233699
CC00839XX23,23710,0.85273177016239
KKI2009_113,MR1,0.8903926924826464
KKI2009_142,MR1,0.8764873763929419
KKI2009_505,MR1,0.8833355880302749
