subject,sessions,alphas,std_crest_dpfstar
CC00735XX18,222201,0,0.2378197354362442
CC00735XX18,222201,1,0.2303566067785973
CC00735XX18,222201,5,0.20550555826671052
CC00735XX18,222201,10,0.18848854740345805
CC00735XX18,222201,50,0.14682515933875798
CC00735XX18,222201,100,0.13663039657351855
CC00735XX18,222201,150,0.1325485370383644
CC00735XX18,222201,200,0.13100708314263318
CC00735XX18,222201,250,0.1299917295529552
CC00735XX18,222201,300,0.12985759437650773
CC00735XX18,222201,400,0.13020133188738645
CC00735XX18,222201,500,0.13066912373527098
CC00735XX18,222201,600,0.13068125324339344
CC00735XX18,222201,700,0.1309157657248415
CC00735XX18,222201,800,0.13115816008100148
CC00735XX18,222201,900,0.13134993896261096
CC00735XX18,222201,1000,0.13158427617837035
CC00735XX18,222201,2000,0.1347159937164516
CC00672AN13,197601,0,0.2444039293438349
CC00672AN13,197601,1,0.2364328817485646
CC00672AN13,197601,5,0.22285904238782728
CC00672AN13,197601,10,0.21471134762786376
CC00672AN13,197601,50,0.16915609320902775
CC00672AN13,197601,100,0.1481364141189064
CC00672AN13,197601,150,0.13630409379282457
CC00672AN13,197601,200,0.13037123672318918
CC00672AN13,197601,250,0.12711360184774223
CC00672AN13,197601,300,0.1256214130505769
CC00672AN13,197601,400,0.12477962001773105
CC00672AN13,197601,500,0.12606325821911038
CC00672AN13,197601,600,0.12667285050030783
CC00672AN13,197601,700,0.12796798480960242
CC00672AN13,197601,800,0.12884866911564535
CC00672AN13,197601,900,0.12964219621764048
CC00672AN13,197601,1000,0.13103993939722636
CC00672AN13,197601,2000,0.13773469204168357
CC00672BN13,200000,0,0.22453319449732295
CC00672BN13,200000,1,0.2188307942882295
CC00672BN13,200000,5,0.20291408391843635
CC00672BN13,200000,10,0.18707469061690515
CC00672BN13,200000,50,0.15967334337854866
CC00672BN13,200000,100,0.15222373897487718
CC00672BN13,200000,150,0.14915229624757864
CC00672BN13,200000,200,0.14657795978030894
CC00672BN13,200000,250,0.14479760069733194
CC00672BN13,200000,300,0.1430071579346164
CC00672BN13,200000,400,0.14043432977900439
CC00672BN13,200000,500,0.13915942570790474
CC00672BN13,200000,600,0.1382092332279787
CC00672BN13,200000,700,0.13746336002408288
CC00672BN13,200000,800,0.13699899049467826
CC00672BN13,200000,900,0.13655011671856068
CC00672BN13,200000,1000,0.13646769925325442
CC00672BN13,200000,2000,0.1358923490006741
CC00621XX11,177900,0,0.23199845809147998
CC00621XX11,177900,1,0.22185084980307712
CC00621XX11,177900,5,0.1941628454227855
CC00621XX11,177900,10,0.17115992462948285
CC00621XX11,177900,50,0.1252305495174944
CC00621XX11,177900,100,0.11410457599431115
CC00621XX11,177900,150,0.10957066815509044
CC00621XX11,177900,200,0.1078248718067013
CC00621XX11,177900,250,0.1071434087895408
CC00621XX11,177900,300,0.10698878728727354
CC00621XX11,177900,400,0.10670092526892946
CC00621XX11,177900,500,0.1069044848871544
CC00621XX11,177900,600,0.10747273852545496
CC00621XX11,177900,700,0.10804334831219228
CC00621XX11,177900,800,0.10868232116570756
CC00621XX11,177900,900,0.10929888116483501
CC00621XX11,177900,1000,0.1099095707773554
CC00621XX11,177900,2000,0.11553763128963797
CC00829XX21,17610,0,0.23538998185860283
CC00829XX21,17610,1,0.2253514115192745
CC00829XX21,17610,5,0.2033297749443149
CC00829XX21,17610,10,0.18667019290885356
CC00829XX21,17610,50,0.1467382497657238
CC00829XX21,17610,100,0.1310858157031082
CC00829XX21,17610,150,0.12292938817601103
CC00829XX21,17610,200,0.11883815878081509
CC00829XX21,17610,250,0.11645549266864852
CC00829XX21,17610,300,0.1144844429042138
CC00829XX21,17610,400,0.11220587479789344
CC00829XX21,17610,500,0.11099188880312279
CC00829XX21,17610,600,0.1103839853935876
CC00829XX21,17610,700,0.11016812558789671
CC00829XX21,17610,800,0.11008909851872262
CC00829XX21,17610,900,0.11014713244306296
CC00829XX21,17610,1000,0.11034925334738747
CC00829XX21,17610,2000,0.11472168045089272
CC00617XX15,176500,0,0.1879097944631478
CC00617XX15,176500,1,0.1844314023564096
CC00617XX15,176500,5,0.17452189036768778
CC00617XX15,176500,10,0.16793081076303737
CC00617XX15,176500,50,0.13842516827556905
CC00617XX15,176500,100,0.12013151017238
CC00617XX15,176500,150,0.11114142007080227
CC00617XX15,176500,200,0.10686942940459407
CC00617XX15,176500,250,0.10507327019765447
CC00617XX15,176500,300,0.1043657394746053
CC00617XX15,176500,400,0.10433248392515278
CC00617XX15,176500,500,0.10489027687846066
CC00617XX15,176500,600,0.10571464299908186
CC00617XX15,176500,700,0.10663935642346233
CC00617XX15,176500,800,0.10745990078351958
CC00617XX15,176500,900,0.10834372673462289
CC00617XX15,176500,1000,0.10922219961254369
CC00617XX15,176500,2000,0.11683632070281742
CC00712XX11,221400,0,0.20681479085782917
CC00712XX11,221400,1,0.19844675538795697
CC00712XX11,221400,5,0.18028363142643286
CC00712XX11,221400,10,0.16761020291086792
CC00712XX11,221400,50,0.13537828459091447
CC00712XX11,221400,100,0.12108278447074135
CC00712XX11,221400,150,0.11389665204700783
CC00712XX11,221400,200,0.10923406764908519
CC00712XX11,221400,250,0.10597561332739684
CC00712XX11,221400,300,0.10354444591251581
CC00712XX11,221400,400,0.09991076820322937
CC00712XX11,221400,500,0.09734902677683115
CC00712XX11,221400,600,0.09562835091101438
CC00712XX11,221400,700,0.09425853995507238
CC00712XX11,221400,800,0.09320177271768325
CC00712XX11,221400,900,0.09244836856588716
CC00712XX11,221400,1000,0.09190843207646711
CC00712XX11,221400,2000,0.09237040767168087
CC00385XX15,118500,0,0.2378488445036346
CC00385XX15,118500,1,0.22237299123080465
CC00385XX15,118500,5,0.19166882744989147
CC00385XX15,118500,10,0.17149496699493977
CC00385XX15,118500,50,0.1297313875065046
CC00385XX15,118500,100,0.11539750333180089
CC00385XX15,118500,150,0.10920400104468386
CC00385XX15,118500,200,0.10558104963048232
CC00385XX15,118500,250,0.10346988033283878
CC00385XX15,118500,300,0.10202048598805882
CC00385XX15,118500,400,0.10030413410413061
CC00385XX15,118500,500,0.09933364850588303
CC00385XX15,118500,600,0.09884462019000124
CC00385XX15,118500,700,0.09872144868235692
CC00385XX15,118500,800,0.098745811582241
CC00385XX15,118500,900,0.09894880437069865
CC00385XX15,118500,1000,0.0992459866524651
CC00385XX15,118500,2000,0.10448337642245743
CC00063AN06,15102,0,0.2610260871600778
CC00063AN06,15102,1,0.2485747202552263
CC00063AN06,15102,5,0.22477085569094254
CC00063AN06,15102,10,0.20794735465989891
CC00063AN06,15102,50,0.15360118833379233
CC00063AN06,15102,100,0.13459971917641209
CC00063AN06,15102,150,0.12531481948763581
CC00063AN06,15102,200,0.11932027328611468
CC00063AN06,15102,250,0.1153222738078724
CC00063AN06,15102,300,0.11277148351378756
CC00063AN06,15102,400,0.1092457162540673
CC00063AN06,15102,500,0.10720875028558469
CC00063AN06,15102,600,0.10588429636179118
CC00063AN06,15102,700,0.10524486479713185
CC00063AN06,15102,800,0.10488895391380952
CC00063AN06,15102,900,0.10479684678392377
CC00063AN06,15102,1000,0.10497220380868919
CC00063AN06,15102,2000,0.10932927761731168
CC00492AN15,140900,0,0.24916031847672104
CC00492AN15,140900,1,0.23566212134326264
CC00492AN15,140900,5,0.20601848061129419
CC00492AN15,140900,10,0.18713625135990972
CC00492AN15,140900,50,0.13899192462315377
CC00492AN15,140900,100,0.11944999879404415
CC00492AN15,140900,150,0.11098906631757269
CC00492AN15,140900,200,0.1068118921117422
CC00492AN15,140900,250,0.10442154389439014
CC00492AN15,140900,300,0.1029668720399442
CC00492AN15,140900,400,0.10146569617597609
CC00492AN15,140900,500,0.10074196287736498
CC00492AN15,140900,600,0.10045426642560526
CC00492AN15,140900,700,0.10029478520050011
CC00492AN15,140900,800,0.10039852771117513
CC00492AN15,140900,900,0.10056259940527655
CC00492AN15,140900,1000,0.10078870242041425
CC00492AN15,140900,2000,0.10342038803081492
CC00100XX01,35000,0,0.2597179393784443
CC00100XX01,35000,1,0.23519108458748383
CC00100XX01,35000,5,0.19245048415633867
CC00100XX01,35000,10,0.17333329687403937
CC00100XX01,35000,50,0.13205485548165022
CC00100XX01,35000,100,0.11817742113427177
CC00100XX01,35000,150,0.11148875717710828
CC00100XX01,35000,200,0.10773075205399707
CC00100XX01,35000,250,0.10517552471457967
CC00100XX01,35000,300,0.10335376504175216
CC00100XX01,35000,400,0.1008952994646402
CC00100XX01,35000,500,0.0993646701309648
CC00100XX01,35000,600,0.09845035684688615
CC00100XX01,35000,700,0.0978640868430281
CC00100XX01,35000,800,0.09746976798985377
CC00100XX01,35000,900,0.09730311009729092
CC00100XX01,35000,1000,0.09715419181535266
CC00100XX01,35000,2000,0.09953693619152032
CC00777XX19,239102,0,0.2820583595701574
CC00777XX19,239102,1,0.257116860392202
CC00777XX19,239102,5,0.21640770009757654
CC00777XX19,239102,10,0.1949482085161193
CC00777XX19,239102,50,0.13365096031677665
CC00777XX19,239102,100,0.11431001948146013
CC00777XX19,239102,150,0.10711741467127169
CC00777XX19,239102,200,0.10308601878930435
CC00777XX19,239102,250,0.1003184828464792
CC00777XX19,239102,300,0.09822968809787873
CC00777XX19,239102,400,0.09523130926463358
CC00777XX19,239102,500,0.09315594546321392
CC00777XX19,239102,600,0.09157653253543588
CC00777XX19,239102,700,0.09046302167438725
CC00777XX19,239102,800,0.08965207012918716
CC00777XX19,239102,900,0.08911942201946721
CC00777XX19,239102,1000,0.08872315890613193
CC00777XX19,239102,2000,0.08958920035899647
CC00839XX23,23710,0,0.19717403820111254
CC00839XX23,23710,1,0.1877126322483071
CC00839XX23,23710,5,0.16944251533662433
CC00839XX23,23710,10,0.1558331253196481
CC00839XX23,23710,50,0.11570541502963863
CC00839XX23,23710,100,0.09772692832272578
CC00839XX23,23710,150,0.0902421956379609
CC00839XX23,23710,200,0.08667136804364521
CC00839XX23,23710,250,0.0848918480269624
CC00839XX23,23710,300,0.08391845376548084
CC00839XX23,23710,400,0.08307681121088262
CC00839XX23,23710,500,0.08284450945632378
CC00839XX23,23710,600,0.0829231194059954
CC00839XX23,23710,700,0.08317276410445826
CC00839XX23,23710,800,0.08345896207942934
CC00839XX23,23710,900,0.0838539468399643
CC00839XX23,23710,1000,0.08421670102345094
CC00839XX23,23710,2000,0.0887150421718215
KKI2009_113,MR1,0,0.2587193225687215
KKI2009_113,MR1,1,0.24828058258091454
KKI2009_113,MR1,5,0.2162860473236511
KKI2009_113,MR1,10,0.18924467495953767
KKI2009_113,MR1,50,0.12409254315031992
KKI2009_113,MR1,100,0.10800959978557083
KKI2009_113,MR1,150,0.10369660412527451
KKI2009_113,MR1,200,0.10237205498260804
KKI2009_113,MR1,250,0.10184707641847023
KKI2009_113,MR1,300,0.10165227022944177
KKI2009_113,MR1,400,0.10185863491995621
KKI2009_113,MR1,500,0.1021753825727578
KKI2009_113,MR1,600,0.10245799077799042
KKI2009_113,MR1,700,0.10272849973774253
KKI2009_113,MR1,800,0.10302588717069677
KKI2009_113,MR1,900,0.10326932135032306
KKI2009_113,MR1,1000,0.10347640669212736
KKI2009_113,MR1,2000,0.1058701420168255
KKI2009_142,MR1,0,0.26044574037888585
KKI2009_142,MR1,1,0.243896743448887
KKI2009_142,MR1,5,0.2101125071408853
KKI2009_142,MR1,10,0.18803105467693104
KKI2009_142,MR1,50,0.1434102083679728
KKI2009_142,MR1,100,0.13101670709942254
KKI2009_142,MR1,150,0.12519991211450357
KKI2009_142,MR1,200,0.12140343660336826
KKI2009_142,MR1,250,0.11852406159932694
KKI2009_142,MR1,300,0.11610941171768038
KKI2009_142,MR1,400,0.11248100927509945
KKI2009_142,MR1,500,0.10981778914464785
KKI2009_142,MR1,600,0.10780769779717964
KKI2009_142,MR1,700,0.10627761384841095
KKI2009_142,MR1,800,0.10510700673836662
KKI2009_142,MR1,900,0.10412175675729017
KKI2009_142,MR1,1000,0.10339299540941237
KKI2009_142,MR1,2000,0.10163727541527118
KKI2009_505,MR1,0,0.26399875578426385
KKI2009_505,MR1,1,0.2508765897522966
KKI2009_505,MR1,5,0.21794415996981645
KKI2009_505,MR1,10,0.19441596336382874
KKI2009_505,MR1,50,0.14045846015973615
KKI2009_505,MR1,100,0.12549962938257817
KKI2009_505,MR1,150,0.11902668253462674
KKI2009_505,MR1,200,0.11518940960277452
KKI2009_505,MR1,250,0.11252031386301123
KKI2009_505,MR1,300,0.11042722508866545
KKI2009_505,MR1,400,0.10728350857734983
KKI2009_505,MR1,500,0.1050501121480814
KKI2009_505,MR1,600,0.10332772234662083
KKI2009_505,MR1,700,0.10198660228950707
KKI2009_505,MR1,800,0.10103409725607906
KKI2009_505,MR1,900,0.10032242369650562
KKI2009_505,MR1,1000,0.09976577783959747
KKI2009_505,MR1,2000,0.0994926071639644
