subject,sessions,alphas,std_crest_dpfstar
CC00735XX18,222201,0,0.23781971678024869
CC00735XX18,222201,1,0.23656202025379822
CC00735XX18,222201,5,0.23191756552662102
CC00735XX18,222201,10,0.2269305436356551
CC00735XX18,222201,50,0.19590289874382458
CC00735XX18,222201,100,0.17831663127415043
CC00735XX18,222201,150,0.1667110854473055
CC00735XX18,222201,200,0.1587925433403077
CC00735XX18,222201,250,0.1530594982624393
CC00735XX18,222201,300,0.14919245486830715
CC00735XX18,222201,400,0.14393163318813096
CC00735XX18,222201,500,0.14067552115157736
CC00735XX18,222201,600,0.1381284818885169
CC00735XX18,222201,700,0.13622898432413852
CC00735XX18,222201,800,0.1348436264482859
CC00735XX18,222201,900,0.13374928096792815
CC00735XX18,222201,1000,0.13269960483653043
CC00735XX18,222201,2000,0.12987715395345567
CC00672AN13,197601,0,0.2444039480313333
CC00672AN13,197601,1,0.24301766848694695
CC00672AN13,197601,5,0.23849487038936906
CC00672AN13,197601,10,0.23413310895263298
CC00672AN13,197601,50,0.22019548535320974
CC00672AN13,197601,100,0.20625038649766433
CC00672AN13,197601,150,0.1952884883969072
CC00672AN13,197601,200,0.18710327408465036
CC00672AN13,197601,250,0.180229855610833
CC00672AN13,197601,300,0.17492302102968027
CC00672AN13,197601,400,0.16620750583145177
CC00672AN13,197601,500,0.15949761592203515
CC00672AN13,197601,600,0.1538457520970199
CC00672AN13,197601,700,0.1491600205110491
CC00672AN13,197601,800,0.14481690010827597
CC00672AN13,197601,900,0.1411990414383266
CC00672AN13,197601,1000,0.13845316512381547
CC00672AN13,197601,2000,0.12599877281443533
CC00672BN13,200000,0,0.2245331720724086
CC00672BN13,200000,1,0.22362814844466072
CC00672BN13,200000,5,0.2204344316285464
CC00672BN13,200000,10,0.21696613068179954
CC00672BN13,200000,50,0.19575475718425414
CC00672BN13,200000,100,0.1790702824187694
CC00672BN13,200000,150,0.17094611845900035
CC00672BN13,200000,200,0.16636137650734475
CC00672BN13,200000,250,0.16342256655864174
CC00672BN13,200000,300,0.1615950095027082
CC00672BN13,200000,400,0.15835968322004468
CC00672BN13,200000,500,0.15567555815452427
CC00672BN13,200000,600,0.15396103271936526
CC00672BN13,200000,700,0.15249991227241413
CC00672BN13,200000,800,0.15148316428451317
CC00672BN13,200000,900,0.1505896730346609
CC00672BN13,200000,1000,0.14960898286330485
CC00672BN13,200000,2000,0.14366982499524014
CC00621XX11,177900,0,0.23199843906442172
CC00621XX11,177900,1,0.2310713714677499
CC00621XX11,177900,5,0.22626886319423714
CC00621XX11,177900,10,0.2201973362947707
CC00621XX11,177900,50,0.1889562873677364
CC00621XX11,177900,100,0.16548549746335314
CC00621XX11,177900,150,0.15277186891649122
CC00621XX11,177900,200,0.1439416894512244
CC00621XX11,177900,250,0.1377993129887842
