,curv,sulc,dpf003,0,1,5,10,50,100,150,200,250,300,400,500,600,700,800,900,1000,2000
curv,-,**,***,***,***,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***
sulc,3.637,-,***,***,***,***,***,,***,***,***,***,***,***,***,***,***,***,***,***,***
dpf003,7.452,5.132,-,***,***,***,***,***,,,,,,,,,,,,,
0,-5.419,-11.105,-16.082,-,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1,-4.504,-10.608,-16.213,1.428,-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
5,-1.965,-8.042,-14.434,4.943,3.769,-,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***
10,-0.024,-5.512,-11.939,7.409,6.519,3.088,-,***,***,***,***,***,***,***,***,***,***,***,***,***,***
50,5.058,1.642,-4.326,13.718,13.662,11.456,8.623,-,**,***,***,***,***,***,***,***,***,***,***,***,***
100,6.767,4.136,-1.46,15.679,15.861,14.061,11.395,3.106,-,,*,*,**,**,**,**,**,**,**,**,**
150,7.546,5.26,-0.209,16.611,16.913,15.308,12.703,4.495,1.363,-,,,,,,*,*,*,*,*,
200,7.972,5.877,0.464,17.136,17.511,16.019,13.444,5.258,2.101,0.734,-,,,,,,,,,,
250,8.236,6.26,0.877,17.469,17.893,16.476,13.918,5.735,2.557,1.185,0.45,-,,,,,,,,,
300,8.412,6.517,1.152,17.694,18.152,16.787,14.239,6.055,2.862,1.486,0.75,0.3,-,,,,,,,,
400,8.618,6.815,1.484,17.94,18.43,17.117,14.587,6.425,3.225,1.849,1.113,0.665,0.366,-,,,,,,,
500,8.695,6.921,1.639,17.985,18.466,17.147,14.633,6.547,3.376,2.014,1.286,0.842,0.547,0.184,-,,,,,,
600,8.746,6.992,1.737,18.021,18.499,17.179,14.675,6.629,3.473,2.118,1.394,0.953,0.659,0.298,0.114,-,,,,,
700,8.755,6.999,1.774,17.993,18.456,17.119,14.623,6.631,3.5,2.154,1.436,0.998,0.707,0.349,0.166,0.052,-,,,,
800,8.75,6.989,1.787,17.955,18.404,17.05,14.561,6.612,3.502,2.165,1.451,1.016,0.727,0.371,0.189,0.076,0.024,-,,,
900,8.739,6.97,1.782,17.92,18.358,16.991,14.506,6.584,3.488,2.157,1.446,1.014,0.726,0.372,0.19,0.077,0.026,0.002,-,,
1000,8.7,6.91,1.747,17.835,18.25,16.855,14.376,6.504,3.435,2.114,1.409,0.98,0.694,0.343,0.163,0.051,-0.0,-0.024,-0.025,-,
2000,8.306,6.339,1.196,17.26,17.575,16.042,13.559,5.793,2.802,1.508,0.816,0.393,0.112,-0.232,-0.403,-0.509,-0.556,-0.576,-0.575,-0.546,-
