Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
38,left,Sillon_Central,2,2.9336343,-2.9217384,-3.0024936,-5.5106807,-4.878565788269043
38,left,Sillon_Temporal_superieur,3,2.5782487,-2.5419526,-2.6092803,-5.1791143,-4.659988737106323
38,left,S.Pe.C.inf.,4,2.59239,-2.4144592,-2.612708,-5.519589,-4.705065369606018
38,left,S.Pe.C.sup.,5,2.5972342,-2.5540807,-2.5490227,-5.3726897,-4.826476573944092
38,left,S.Po.C.,6,2.324179,-2.197713,-2.1836574,-5.6389823,-5.041046977043152
38,left,Fissure_Intra_Parietale,7,2.7432306,-2.7344093,-2.6474867,-5.6474466,-5.293573498725891
38,left,Sillon_Frontal_superieur,8,2.562698,-2.526706,-2.5796232,-5.3630247,-4.7962949752807615
38,left,Sillon_Frontal_inferieur,9,2.2130966,-2.1682324,-2.3747692,-4.0303006,-3.7090093970298765
38,left,S.T.i.,10,1.2833467,-0.9786149,-1.0314735,-3.5282404,-2.765269660949707
38,left,F.C.M.,11,2.7136557,-2.5371048,-2.7513795,-5.5826774,-4.942980027198791
38,left,Fissure_Calcarine.,12,2.715165,-2.6059356,-2.9313154,-5.31378,-4.900491714477539
38,left,S.F.int.,13,1.3132769,-1.1151505,-1.2342358,-3.5520332,-2.765404224395752
38,left,S.R.inf,14,1.8810358,-1.7235698,-1.8032042,-3.802021,-3.6943122148513794
38,left,F.Coll.,15,2.8871605,-2.7739663,-3.034059,-5.714984,-5.093059539794922
38,left,S.S.p.,16,2.1187243,-1.9740374,-1.9794813,-5.0073423,-4.283262872695923
38,left,S.Call.,17,2.9495769,-2.7869246,-2.9611297,-6.1472406,-5.612674903869629
38,left,Fissure_Parieto_Occipitale,18,2.4917214,-2.4568777,-2.6812236,-4.812318,-4.300875186920166
38,left,Sillon_Olfactif,19,3.3011582,-3.3011582,-3.4832036,-5.7327056,-5.3886490821838375
38,left,S.Or.,20,1.8725687,-1.847984,-1.8809795,-4.000443,-3.778254306316376
38,left,S.O.T.Lat.,21,2.3598526,-2.1471102,-2.4284894,-5.2142143,-4.70139217376709
38,left,S.C.LPC.,22,1.1088399,-1.0361992,-1.0700228,-2.111463,-1.9491402626037597
38,left,S.F.int.,23,2.1239953,-2.0688133,-1.9464056,-4.822531,-4.3899489641189575
38,left,S.F.marginal,24,1.980338,-1.9189076,-2.023255,-3.5833952,-3.4567536115646362
38,left,S.F.Orbitaire,25,1.8968238,-1.8968238,-1.9535942,-3.1402812,-2.9798535227775576
38,left,S.Rh.,26,1.4980093,-0.8291951,-0.75359315,-3.467476,-3.3714974880218507
38,left,F.I.P.sup.,27,2.3126116,-2.227896,-2.105108,-5.2330647,-4.926616668701172
38,left,S.Pa.sup.,28,1.5439602,-1.3412323,-1.4399304,-3.1536622,-3.0133305191993713
