Week,Hemi,ROI,Label,DPFstar_Mean_abs,DPFstar_Mean,DPFstar_Median,DPFstar_Min,DPFstar_5p
40,right,Sillon_Central,2,2.9112527,-2.8932214,-3.0178108,-5.4880657,-4.998979377746582
40,right,Sillon_Temporal_superieur,3,2.5337758,-2.4699626,-2.5150695,-5.2536335,-4.795015931129456
40,right,S.Pe.C.inf.,4,2.6900148,-2.5695279,-2.859303,-5.441617,-4.662170767784119
40,right,S.Pe.C.sup.,5,2.5013027,-2.4084983,-2.4345975,-5.543294,-4.8901143074035645
40,right,S.Po.C.,6,2.4497058,-2.399439,-2.4073925,-5.660281,-5.049203252792358
40,right,Fissure_Intra_Parietale,7,2.2061903,-2.0054903,-1.975728,-5.350408,-4.761880922317505
40,right,Sillon_Frontal_superieur,8,2.4030519,-2.223584,-2.3532946,-5.0404806,-4.63066418170929
40,right,Sillon_Frontal_inferieur,9,2.1172915,-1.940495,-1.9351305,-4.638175,-4.404430031776428
40,right,S.T.i.,10,1.5516644,-1.3674202,-1.5027441,-3.7607868,-3.1924726963043213
40,right,F.C.M.,11,2.8771248,-2.8419034,-2.9690323,-5.5694165,-4.923180294036865
40,right,Fissure_Calcarine.,12,2.505392,-2.3858738,-2.485272,-5.402467,-4.920924258232117
40,right,S.F.int.,13,1.1898618,-1.0104225,-0.99961334,-3.4768033,-2.650107514858246
40,right,S.R.inf,14,1.5590541,-1.494402,-1.3997675,-3.7522037,-3.431719148159027
40,right,F.Coll.,15,2.7869818,-2.4495106,-2.7478943,-5.7772083,-5.360266017913818
40,right,S.S.p.,16,2.0927308,-1.9394586,-2.0414982,-4.662184,-3.8722578287124634
40,right,S.Call.,17,2.5252385,-2.3955145,-2.6333354,-6.020577,-4.921467900276184
40,right,Fissure_Parieto_Occipitale,18,2.3735986,-2.3264668,-2.5462317,-4.1846247,-3.8714989542961122
40,right,Sillon_Olfactif,19,3.3151705,-3.3054101,-3.3461914,-5.7189794,-5.380098462104797
40,right,S.Or.,20,1.9833908,-1.8913488,-1.9209454,-4.5573354,-4.108243227005005
40,right,S.O.T.Lat.,21,2.4946122,-2.3639982,-2.533699,-5.226545,-4.773904299736023
40,right,S.C.LPC.,22,1.5539122,-1.5088098,-1.8633472,-2.5973685,-2.481686305999756
40,right,S.F.int.,23,2.0386703,-1.58266,-1.5450939,-4.7956285,-4.324755668640137
40,right,S.F.marginal,24,2.1488714,-1.8757175,-2.2848969,-4.087622,-3.7597617387771605
40,right,S.F.Orbitaire,25,1.6825109,-1.6825109,-1.7883013,-2.0959039,-2.0490948438644407
40,right,S.Rh.,26,1.6051518,-1.3571745,-1.3139467,-3.310407,-3.1119884848594666
40,right,F.I.P.sup.,27,1.9534965,-1.5430628,-1.7061621,-4.7708545,-4.05590124130249
40,right,S.Pa.sup.,28,0.9725353,-0.034714025,-0.3586854,-1.7326609,-1.534273386001587
