Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
30,left,Sillon_Central,2,1.2833034,-1.2378801,-1.3468089,-2.1765661,-2.0212276220321654
30,left,Sillon_Temporal_superieur,3,0.7871526,-0.6318027,-0.6935495,-1.8260667,-1.6083227515220642
30,left,S.Pe.C.inf.,4,0.72118473,-0.57187843,-0.6068624,-1.8596071,-1.6214563608169557
30,left,S.Pe.C.sup.,5,0.5485377,-0.039015852,-0.061100814,-1.5188354,-1.1210344552993774
30,left,S.Po.C.,6,0.64833003,-0.48410743,-0.54612315,-1.6856396,-1.4198249876499176
30,left,Fissure_Intra_Parietale,7,0.7489415,-0.64248985,-0.6679535,-1.7266886,-1.5947644770145417
30,left,Sillon_Frontal_superieur,8,0.70277435,-0.5970366,-0.6527519,-1.6731873,-1.3385148763656616
30,left,Sillon_Frontal_inferieur,9,0.59614587,-0.5471602,-0.6034403,-1.3728414,-1.2223221421241761
30,left,S.T.i.,10,0.3596878,0.21053582,0.16799848,-0.6863474,-0.44190706312656397
30,left,F.C.M.,11,0.9117692,-0.81284636,-0.8869412,-2.0175421,-1.8385090410709382
30,left,Fissure_Calcarine.,12,1.186607,-1.0303038,-1.2155353,-2.3000371,-2.158138132095337
30,left,S.F.int.,13,0.3785362,-0.35785708,-0.4014934,-0.90485513,-0.7162498235702515
30,left,S.R.inf,14,0.3568992,-0.33824265,-0.27464226,-0.9513037,-0.8645880222320557
30,left,F.Coll.,15,0.6638043,-0.4889279,-0.40234652,-2.1336288,-1.8409966468811034
30,left,S.S.p.,16,0.42266667,-0.2433536,-0.27265346,-1.1218108,-0.9283257156610488
30,left,S.Call.,17,0.8947667,-0.6802203,-0.7239442,-2.2432256,-1.811767315864563
30,left,Fissure_Parieto_Occipitale,18,0.9387142,-0.8842213,-0.93643945,-1.9257791,-1.836075246334076
30,left,Sillon_Olfactif,19,0.8685895,-0.7070105,-0.78819585,-1.9642528,-1.8101125001907348
30,left,S.Or.,20,0.40271145,-0.3128446,-0.32991308,-0.9656733,-0.7991952419281005
30,left,S.O.T.Lat.,21,0.5735746,-0.3894493,-0.4023537,-1.7255144,-1.4623947441577911
30,left,S.C.LPC.,22,0.17275342,-0.005242409,-0.040481105,-0.35092533,-0.31914916038513186
30,left,S.F.int.,23,0.37761196,-0.29884073,-0.29990414,-1.0398923,-0.9163971394300461
30,left,S.F.marginal,24,0.28786582,-0.12925108,-0.14724013,-0.77564156,-0.6352683156728745
30,left,S.F.Orbitaire,25,0.18583128,-0.10087935,-0.1224381,-0.38265732,-0.35881876945495605
30,left,S.Rh.,26,0.54876727,0.5325364,0.5321744,-0.12553036,-0.08588941246271133
30,left,F.I.P.sup.,27,0.752377,-0.66139513,-0.6687547,-1.6454105,-1.5734467267990113
30,left,S.Pa.sup.,28,0.2403894,0.1122087,0.119583085,-0.381027,-0.3482664510607719
