Week,Hemi,ROI,Label,DPFstarAbs_Mean_abs,DPFstarAbs_Mean,DPFstarAbs_Median,DPFstarAbs_Min,DPFstarAbs_5p
37,right,Sillon_Central,2,1.4151349,-1.401967,-1.4740279,-2.6338272,-2.4313075065612795
37,right,Sillon_Temporal_superieur,3,1.2530864,-1.2097777,-1.2208961,-2.6444905,-2.4069912552833554
37,right,S.Pe.C.inf.,4,1.2999452,-1.2946396,-1.3582084,-2.6699371,-2.351338028907776
37,right,S.Pe.C.sup.,5,1.0965308,-1.0200839,-1.0367436,-2.69542,-2.4002066254615784
37,right,S.Po.C.,6,1.1230057,-1.0182819,-1.0807565,-2.6807916,-2.2581947326660154
37,right,Fissure_Intra_Parietale,7,0.99830157,-0.8481147,-0.7714493,-2.4789505,-2.2849579811096192
37,right,Sillon_Frontal_superieur,8,1.2191557,-1.1629983,-1.1658556,-2.631862,-2.353533685207367
37,right,Sillon_Frontal_inferieur,9,1.0452974,-0.9573752,-1.021308,-2.2668173,-2.0171675086021423
37,right,S.T.i.,10,0.6858995,-0.4968772,-0.5906566,-1.6378757,-1.250944048166275
37,right,F.C.M.,11,1.3624462,-1.2913569,-1.4234401,-2.7042568,-2.384925162792206
37,right,Fissure_Calcarine.,12,1.3222566,-1.2559025,-1.3895695,-2.701442,-2.4305941104888915
37,right,S.F.int.,13,0.444128,-0.18725891,-0.23382387,-1.1543232,-0.9566806942224503
37,right,S.R.inf,14,0.707994,-0.6574425,-0.5097519,-1.6616397,-1.5861496925354004
37,right,F.Coll.,15,1.2830079,-1.0294589,-1.0705115,-2.8213546,-2.61717848777771
37,right,S.S.p.,16,0.91440946,-0.6160595,-0.72741354,-2.123858,-1.8213821053504944
37,right,S.Call.,17,1.3139497,-1.1060375,-1.3403552,-3.0620708,-2.4304351806640625
37,right,Fissure_Parieto_Occipitale,18,1.1953961,-1.1480381,-1.2858107,-2.2418132,-2.0323871850967405
37,right,Sillon_Olfactif,19,1.6530156,-1.6530156,-1.7538615,-2.84875,-2.68109929561615
37,right,S.Or.,20,0.8664824,-0.84281856,-0.8126535,-2.0290349,-1.9046562314033508
37,right,S.O.T.Lat.,21,1.1213468,-0.9590512,-1.0494896,-2.5647817,-2.384813916683197
37,right,S.C.LPC.,22,0.7540977,-0.6887035,-0.81508934,-1.3812819,-1.3240356206893922
37,right,S.F.int.,23,1.0255264,-0.9609161,-1.0153002,-2.234809,-2.0784026384353638
37,right,S.F.marginal,24,0.973573,-0.91338855,-1.0001612,-1.9027407,-1.739631450176239
37,right,S.F.Orbitaire,25,0.6843607,-0.6843607,-0.71544254,-0.8563173,-0.8235343664884567
37,right,S.Rh.,26,0.63374734,-0.4076833,-0.43579227,-1.3388363,-1.2787073850631714
37,right,F.I.P.sup.,27,1.0460211,-0.83567744,-0.9190251,-2.1641815,-2.0320905685424804
37,right,S.Pa.sup.,28,0.78964317,-0.6160761,-0.62835497,-1.6464486,-1.5705009937286376
