Week,Hemi,ROI,Label,Sulc_Mean_abs,Sulc_Mean,Sulc_Median,Sulc_Min,Sulc_5p
34,left,Sillon_Central,2,4.1464815,-3.8407753,-4.386639,-7.691635,-6.892763447761536
34,left,Sillon_Temporal_superieur,3,2.6920283,-1.846473,-2.5120401,-5.2338324,-4.571739292144775
34,left,S.Pe.C.inf.,4,2.6858568,-2.6014023,-2.612049,-6.3450794,-5.7914451360702515
34,left,S.Pe.C.sup.,5,2.0320513,-0.9656834,-0.84463286,-5.275829,-4.549636554718018
34,left,S.Po.C.,6,2.1505136,-1.2415192,-1.4859698,-5.51318,-4.837109684944153
34,left,Fissure_Intra_Parietale,7,2.2562878,-2.0552073,-2.1960692,-4.87309,-4.536437726020813
34,left,Sillon_Frontal_superieur,8,2.1380618,-1.4969606,-1.8137623,-5.1076245,-4.129099559783936
34,left,Sillon_Frontal_inferieur,9,2.034714,-1.9158399,-2.0248313,-5.3142695,-3.9480117678642275
34,left,S.T.i.,10,2.2419353,2.1619596,1.2735369,-0.9048533,-0.41425074338912954
34,left,F.C.M.,11,4.030167,-3.9545033,-4.167842,-7.836319,-7.02641453742981
34,left,Fissure_Calcarine.,12,5.4603324,-5.419831,-5.6747293,-9.768903,-8.949942016601563
34,left,S.F.int.,13,0.948521,0.815059,0.6875135,-1.1291983,-0.5570984482765198
34,left,S.R.inf,14,1.4403436,1.1572009,1.0894383,-1.2129146,-0.9006042182445526
34,left,F.Coll.,15,3.0280828,-2.914601,-3.1546829,-5.969357,-5.387858915328979
34,left,S.S.p.,16,1.765761,-1.0450317,-1.3816572,-3.8432045,-3.379126727581024
34,left,S.Call.,17,2.7391222,-2.7391222,-2.9288924,-5.496561,-4.213028621673584
34,left,Fissure_Parieto_Occipitale,18,3.6041546,-3.53902,-3.5421045,-7.099792,-6.769558906555176
34,left,Sillon_Olfactif,19,1.6359631,1.0037558,0.7935699,-1.6990167,-1.399819278717041
34,left,S.Or.,20,1.3178973,0.45312443,0.14779875,-2.059089,-1.7514666438102722
34,left,S.O.T.Lat.,21,1.2167991,-0.94080395,-1.0219581,-3.1934187,-2.778434932231903
34,left,S.C.LPC.,22,1.3708546,1.3708546,1.3133494,0.72949034,0.8258141160011292
34,left,S.F.int.,23,1.0263262,-0.82000905,-0.8729371,-2.3567848,-2.1420466899871826
34,left,S.F.marginal,24,1.8267698,1.7884297,1.4405208,-0.43603218,-0.16633513197302818
34,left,S.F.Orbitaire,25,1.8772584,1.8772584,1.8022802,1.1912303,1.2609795928001404
34,left,S.Rh.,26,3.0632558,3.0632558,2.964012,1.2581055,1.4511755466461183
34,left,F.I.P.sup.,27,3.2192264,-2.9023478,-3.2597537,-5.988419,-5.620667552947998
34,left,S.Pa.sup.,28,3.0781646,3.0781646,2.9746976,2.493111,2.5500553250312805
